x:,-3.0,-2.988,-2.976,-2.964,-2.952,-2.94,-2.928,-2.916,-2.904,-2.892,-2.88,-2.868,-2.856,-2.844,-2.832,-2.82,-2.808,-2.796,-2.784,-2.772,-2.76,-2.748,-2.736,-2.724,-2.712,-2.7,-2.688,-2.676,-2.664,-2.652,-2.64,-2.628,-2.616,-2.604,-2.592,-2.58,-2.568,-2.556,-2.544,-2.532,-2.52,-2.508,-2.496,-2.484,-2.472,-2.46,-2.448,-2.436,-2.424,-2.412,-2.4,-2.388,-2.376,-2.364,-2.352,-2.34,-2.328,-2.316,-2.304,-2.292,-2.28,-2.268,-2.256,-2.244,-2.232,-2.22,-2.208,-2.196,-2.184,-2.172,-2.16,-2.148,-2.136,-2.124,-2.112,-2.1,-2.088,-2.076,-2.064,-2.052,-2.04,-2.028,-2.016,-2.004,-1.992,-1.98,-1.968,-1.956,-1.944,-1.932,-1.92,-1.908,-1.896,-1.884,-1.872,-1.86,-1.848,-1.836,-1.824,-1.812,-1.8,-1.788,-1.776,-1.764,-1.752,-1.74,-1.728,-1.716,-1.704,-1.692,-1.68,-1.668,-1.656,-1.644,-1.632,-1.62,-1.608,-1.596,-1.584,-1.572,-1.56,-1.548,-1.536,-1.524,-1.512,-1.5,-1.488,-1.476,-1.464,-1.452,-1.44,-1.428,-1.416,-1.404,-1.392,-1.38,-1.368,-1.356,-1.344,-1.332,-1.32,-1.308,-1.296,-1.284,-1.272,-1.26,-1.248,-1.236,-1.224,-1.212,-1.2,-1.188,-1.176,-1.164,-1.152,-1.14,-1.128,-1.116,-1.104,-1.092,-1.08,-1.068,-1.056,-1.044,-1.032,-1.02,-1.008,-0.996,-0.984,-0.972,-0.96,-0.948,-0.936,-0.924,-0.912,-0.9,-0.888,-0.876,-0.864,-0.852,-0.84,-0.828,-0.816,-0.804,-0.792,-0.78,-0.768,-0.756,-0.744,-0.732,-0.72,-0.708,-0.696,-0.684,-0.672,-0.66,-0.648,-0.636,-0.624,-0.612,-0.6,-0.588,-0.576,-0.564,-0.552,-0.54,-0.528,-0.516,-0.504,-0.492,-0.48,-0.468,-0.456,-0.444,-0.432,-0.42,-0.408,-0.396,-0.384,-0.372,-0.36,-0.348,-0.336,-0.324,-0.312,-0.3,-0.288,-0.276,-0.264,-0.252,-0.24,-0.228,-0.216,-0.204,-0.192,-0.18,-0.168,-0.156,-0.144,-0.132,-0.12,-0.108,-0.096,-0.084,-0.072,-0.06,-0.048,-0.036,-0.024,-0.012,0.0,0.012,0.024,0.036,0.048,0.06,0.072,0.084,0.096,0.108,0.12,0.132,0.144,0.156,0.168,0.18,0.192,0.204,0.216,0.228,0.24,0.252,0.264,0.276,0.288,0.3,0.312,0.324,0.336,0.348,0.36,0.372,0.384,0.396,0.408,0.42,0.432,0.444,0.456,0.468,0.48,0.492,0.504,0.516,0.528,0.54,0.552,0.564,0.576,0.588,0.6,0.612,0.624,0.636,0.648,0.66,0.672,0.684,0.696,0.708,0.72,0.732,0.744,0.756,0.768,0.78,0.792,0.804,0.816,0.828,0.84,0.852,0.864,0.876,0.888,0.9,0.912,0.924,0.936,0.948,0.96,0.972,0.984,0.996,1.008,1.02,1.032,1.044,1.056,1.068,1.08,1.092,1.104,1.116,1.128,1.14,1.152,1.164,1.176,1.188,1.2,1.212,1.224,1.236,1.248,1.26,1.272,1.284,1.296,1.308,1.32,1.332,1.344,1.356,1.368,1.38,1.392,1.404,1.416,1.428,1.44,1.452,1.464,1.476,1.488,1.5,1.512,1.524,1.536,1.548,1.56,1.572,1.584,1.596,1.608,1.62,1.632,1.644,1.656,1.668,1.68,1.692,1.704,1.716,1.728,1.74,1.752,1.764,1.776,1.788,1.8,1.812,1.824,1.836,1.848,1.86,1.872,1.884,1.896,1.908,1.92,1.932,1.944,1.956,1.968,1.98,1.992,2.004,2.016,2.028,2.04,2.052,2.064,2.076,2.088,2.1,2.112,2.124,2.136,2.148,2.16,2.172,2.184,2.196,2.208,2.22,2.232,2.244,2.256,2.268,2.28,2.292,2.304,2.316,2.328,2.34,2.352,2.364,2.376,2.388,2.4,2.412,2.424,2.436,2.448,2.46,2.472,2.484,2.496,2.508,2.52,2.532,2.544,2.556,2.568,2.58,2.592,2.604,2.616,2.628,2.64,2.652,2.664,2.676,2.688,2.7,2.712,2.724,2.736,2.748,2.76,2.772,2.784,2.796,2.808,2.82,2.832,2.844,2.856,2.868,2.88,2.892,2.904,2.916,2.928,2.94,2.952,2.964,2.976,2.988,3.0
dkappa = 0.1
kappa_1:,0.5,0.6,0.7,0.8,0.9,1.0,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,1.9,2.0,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,2.9,3.0,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,3.9,4.0
kappa_2:,	 0.0,	 0.1,	 0.2,	 0.3,	 0.4,	 0.5,	 0.6,	 0.7,	 0.8,	 0.9,	 1.0,	 1.1,	 1.2,	 1.3,	 1.4,	 1.5,	 1.6,	 1.7,	 1.8,	 1.9,	 2.0

Trials:
kappa_1,kappa_2,eigenvalue,solve time (s)
0.9,1.6,1.5028453541262934,0.18669509887695312
0.9,1.7,1.5234714031610823,0.11892032623291016
0.9,1.8,1.5434501725160639,0.15881013870239258
0.9,1.9,1.5628319426444763,0.154799222946167
0.9,2.0,1.5816609183421182,0.14851903915405273
1.0,0.0,1.0007221883521833,0.14686203002929688
1.0,0.1,1.0653868418703045,0.16480612754821777
1.0,0.2,1.1183043899886655,0.21205782890319824
1.0,0.3,1.164039307136496,0.15392017364501953
1.0,0.4,1.2047964776199502,0.16074085235595703
1.0,0.5,1.2418375222540623,0.1641240119934082
1.0,0.6,1.275965304792941,0.13720202445983887
1.0,0.7,1.3077289993044605,0.18018603324890137
1.0,0.8,1.3375243077735912,0.24074172973632812
1.0,0.9,1.3656477524627697,0.13962912559509277
1.0,1.0,1.392328444860859,0.1538550853729248
1.0,1.1,1.4177478190857598,0.24316692352294922
1.0,1.2,1.4420524857701478,0.41219377517700195
1.0,1.3,1.465362935322034,0.25545430183410645
1.0,1.4,1.487779623899499,0.27730512619018555
1.0,1.5,1.509387345610331,0.1544651985168457
1.0,1.6,1.530258448129141,0.16539382934570312
1.0,1.7,1.5504552447290567,0.12079381942749023
1.0,1.8,1.5700318571633343,0.1954798698425293
1.0,1.9,1.5890356438238444,0.15216302871704102
1.0,2.0,1.6075083232755936,0.13904190063476562
1.1,0.0,1.0493051137729763,0.1695549488067627
1.1,0.1,1.1091543734849632,0.12278485298156738
1.1,0.2,1.1589500525183152,0.15817809104919434
1.1,0.3,1.202402732065122,0.19551420211791992
1.1,0.4,1.2413743135955593,0.13846516609191895
1.1,0.5,1.2769566176702392,0.16846179962158203
1.1,0.6,1.3098564813240046,0.14001703262329102
1.1,0.7,1.3405635976154011,0.15375709533691406
1.1,0.8,1.3694343196516359,0.1251668930053711
1.1,0.9,1.396737813417464,0.15732288360595703
1.1,1.0,1.4226834201706449,0.1753678321838379
1.1,1.1,1.4474378342777978,0.1480419635772705
1.1,1.2,1.4711363928259074,0.16840028762817383
1.1,1.3,1.4938907775720422,0.14478373527526855
1.1,1.4,1.5157944360053326,0.18195772171020508
1.1,1.5,1.5369264980902742,0.1495659351348877
1.1,1.6,1.5573546715024318,0.25327610969543457
1.1,1.7,1.5771374231063748,0.1672377586364746
1.1,1.8,1.596325651949952,0.15015387535095215
1.1,1.9,1.6149639910619646,0.1233668327331543
1.1,2.0,1.633091834920297,0.14722895622253418
1.2,0.0,1.0957893096903133,0.14308714866638184
1.2,0.1,1.151457961974068,0.17881011962890625
1.2,0.2,1.1984566563499954,0.23253989219665527
1.2,0.3,1.2398267995090526,0.3847928047180176
1.2,0.4,1.2771492625550234,0.21701383590698242
1.2,0.5,1.3113726409377504,0.1862468719482422
1.2,0.6,1.343121104298751,0.2587871551513672
1.2,0.7,1.3728323572469912,0.20493578910827637
1.2,0.8,1.400827952810543,0.19945001602172852
1.2,0.9,1.4273526341779714,0.1825718879699707
1.2,1.0,1.4525979543960448,0.16887807846069336
1.2,1.1,1.4767172589490913,0.18162202835083008
1.2,1.2,1.4998356178887933,0.15257906913757324
1.2,1.3,1.522056651973565,0.1575312614440918
1.2,1.4,1.543467367493573,0.14017200469970703
1.2,1.5,1.5641416694695174,0.17065978050231934
1.2,1.6,1.5841429707980044,0.1368241310119629
1.2,1.7,1.6035261672231542,0.2027430534362793
1.2,1.8,1.6223391577460242,0.19091296195983887
1.2,1.9,1.6406240320356955,0.19611001014709473
1.2,2.0,1.6584180104140278,0.13131403923034668
1.3,0.0,1.140415627549945,0.18579888343811035
1.3,0.1,1.1924258290676675,0.1670069694519043
1.3,0.2,1.2369066314847617,0.14616084098815918
1.3,0.3,1.276370280868895,0.179487943649292
1.3,0.4,1.3121660005084295,0.18319201469421387
1.3,0.5,1.3451210562315101,0.13248395919799805
1.3,0.6,1.3757882178433725,0.14188718795776367
1.3,0.7,1.404559631637765,0.12998580932617188
1.3,0.8,1.4317260082692433,0.18253064155578613
1.3,0.9,1.457510247466627,0.21250295639038086
1.3,1.0,1.4820878727687588,0.21053814888000488
1.3,1.1,1.505600124134765,0.17617011070251465
1.3,1.2,1.5281627103018591,0.1507887840270996
1.3,1.3,1.5498718673004728,0.14689302444458008
1.3,1.4,1.5708086762567224,0.17810511589050293
1.3,1.5,1.5910422180153343,0.3597450256347656
1.3,1.6,1.6106319271515515,0.20898723602294922
1.3,1.7,1.6296293816000857,0.2567918300628662
1.3,1.8,1.6480796857092017,0.3126227855682373
1.3,1.9,1.6660225540081948,0.2001941204071045
1.3,2.0,1.6834931720170132,0.22431206703186035
1.4,0.0,1.1833840057320677,0.14130496978759766
1.4,0.1,1.2321694438660036,0.177001953125
1.4,0.2,1.2743735303317134,0.16448688507080078
1.4,0.3,1.3120864968262713,0.1642470359802246
1.4,0.4,1.3464655318887262,0.1952052116394043
1.4,0.5,1.3782346939465435,0.1803879737854004
1.4,0.6,1.4078848890203657,0.1482372283935547
1.4,0.7,1.4357682386844317,0.14552974700927734
1.4,0.8,1.4621480616519424,0.18722891807556152
1.4,0.9,1.4872276868997671,0.18512201309204102
1.4,1.0,1.511168171417161,0.19826221466064453
